question,answer,domain,role,product,freshness
What is the leave policy at Axis Bank?,"Employees are entitled to 24 privileged leaves, 8 casual leaves and 12 sick leaves per calendar year. Privileged leaves must be planned at least 7 working days in advance and can be availed up to 3 times a year. Unused privileged leaves are carried forward up to a cap of 60 days.",HR,employee,leave-policy,2026-06-01
How do I apply for maternity leave?,"Maternity leave of 26 weeks is available to eligible female employees. Raise a request via the HR self-service portal at least 8 weeks before the expected delivery date. Attach the medical certificate and reporting-manager approval before submission.",HR,employee,leave-policy,2026-06-01
What is the re-hiring policy?,"Ex-employees who resigned in good standing may be considered for re-hiring after a cooling period of 12 months. Approval requires HRBP, business head and CHRO sign-off. Prior tenure is counted only for gratuity and long-service awards.",HR,manager,rehiring-policy,2026-03-15
What are the working hours for branch staff?,"Branch operating window is 09:30 to 17:30 on weekdays and 09:30 to 13:30 on second and fourth Saturdays. Front-office staff are expected to be on floor 15 minutes before opening.",HR,branch-staff,attendance,2026-04-10
How is the performance appraisal cycle structured?,"The appraisal cycle runs from April to March. Goal setting happens in April, mid-year review in September and final review in March-April. Ratings are on a 5-point scale with a normalisation step at the business-unit level.",HR,employee,performance-management,2026-02-01
How do I reset my Active Directory password?,"Open https://reset.axisbank.internal, complete MFA, provide your employee ID and set a new password (min 12 chars, 1 upper, 1 digit, 1 symbol). If MFA is not enrolled, raise a ticket via IT Helpdesk with your reporting manager on CC.",IT_HELPDESK,employee,identity,2026-08-01
How do I request VPN access?,"Raise a Service Request under IT Helpdesk > Connectivity > VPN with justification. Approval flow: reporting manager, InfoSec, and Network team. Provisioning SLA is 2 business days.",IT_HELPDESK,employee,vpn,2026-07-11
How do I raise a laptop hardware issue?,"Log a ticket via Unidesk under IT Helpdesk > Hardware. Select 'Laptop' and describe the issue. On-site engineers respond within 4 hours for critical issues (screen not turning on, keyboard failure) and 1 business day otherwise.",IT_HELPDESK,employee,hardware,2026-05-20
What is Know Your Customer (KYC)?,"KYC is the mandatory identity and address verification process required before opening any customer account. Acceptable documents include Aadhaar, PAN, passport, driving licence and voter ID. Video KYC is available for eligible savings accounts.",LAW,relationship-manager,compliance,2026-01-15
What is Anti Money Laundering (AML)?,"AML refers to the controls that detect and prevent financial crime. Every transaction above INR 10 lakh in cash is reported to FIU-IND. Suspicious Transaction Reports (STRs) must be filed within 7 working days.",LAW,compliance-officer,aml,2026-01-15
How do I check the status of a service request?,"Use the #status bubble followed by the SR reference, e.g. '#status SR-123456'. Vartalaap will fetch the current state from Unidesk.",STATUS,employee,unidesk,2026-08-20
How do I check credit card application status?,"Type '#status credit card application <application-id>'. The bot will query PrimeCTL and return the current stage (documentation, verification, disbursement).",STATUS,employee,primectl,2026-08-20
Where can I download the FEMA declaration form?,"Go to the Download tab and choose 'Forms & Annexure > FEMA Declaration'. The latest version is dated 2026-04.",DOWNLOAD,employee,forms,2026-04-01
Where can I download the salary reimbursement form?,"Download > HR Forms > Salary Reimbursement. Submit the completed form to your HR business partner within 30 days of the expense.",DOWNLOAD,employee,forms,2026-05-05
What is the Aha loyalty programme?,"Aha is Axis Bank's employee-facing rewards programme. Points are earned for referrals, cross-sell wins and audit-clean months. Points can be redeemed on the Aha portal for vouchers and merchandise.",AHA,employee,aha,2026-03-01
How do I raise a Change Request (CR) for a policy update?,"Log a CR in the Change Management portal. Attach the impact assessment, business justification and roll-back plan. CRs affecting production data require CAB approval.",CR,team-lead,change-management,2026-06-10
What is the Cerebro RAG engine?,"Cerebro is the internal RAG engine that powers Vartalaap. It has three layers: query routing, retrieval (Azure AI Search top-50 + rerank top-5) and GPT-4o mini answer generation.",IT_HELPDESK,engineer,cerebro,2026-08-20
What models power Vartalaap?,"Vartalaap uses GPT-4o mini for answer generation, text-embedding-3-large for embeddings and Azure AI Search for vector retrieval. Reranking is done via a semantic reranker on the top 50 candidates.",IT_HELPDESK,engineer,cerebro,2026-08-20
What is the Conversational BI bubble used for?,"The Conversational BI bubble is used for free-text analytics against the reporting data mart. It uses the Text2SQL agent to translate the question into SQL and executes it on the reporting DB.",CONVERSATIONAL_BI,analyst,bi,2026-07-01
How do I contact the Financial Advisor tab?,"The Financial Advisor bubble routes to the wealth-advisory knowledge base. For personalised advice, use the Axis Phone bubble to raise a callback request with a certified advisor.",FINANCIAL_ADVISOR,customer,advisory,2026-06-01
How do I book a fixed deposit?,"Log in to internet banking or the mobile app, choose Deposits > Book FD, pick tenure (7 days to 10 years), amount, and interest payout mode. Senior citizens get an extra 0.50 percent over the card rate.",FINANCIAL_ADVISOR,customer,fixed-deposit,2026-04-15
What is the SIP registration cut-off?,"SIP registration cut-off is 8 calendar days before the first debit date. Pausing or cancelling a running SIP requires the request at least 2 working days before the debit date.",FINANCIAL_ADVISOR,advisor,mutual-funds,2026-05-01
Can I break a Tax Saver FD before 5 years?,"No. The 5-year Tax Saver FD has a statutory lock-in and cannot be broken until maturity. Regular FDs can be broken with a 1 percent penalty over the applicable rate.",FINANCIAL_ADVISOR,customer,fixed-deposit,2026-04-15
How do I request a callback via Axis Phone?,"Choose the Axis Phone bubble, pick a 30-minute slot between 09:00 and 20:00 IST, confirm the callback number, and select the topic. You will get an SMS confirmation with the reference ID. Priority and Burgundy customers are called within 15 minutes of the slot.",AXIS_PHONE,customer,callback,2026-06-15
What if I miss my scheduled Axis Phone callback?,"The system retries once automatically. If both attempts miss, the callback is flagged for supervisor review and rescheduled for the next business day.",AXIS_PHONE,customer,callback,2026-06-15
How do I use the Conversational BI bubble?,"Choose the Conversational BI bubble and ask a natural-language question about customers, accounts, or transactions. Vartalaap generates SQL, executes it read-only against the reporting mart, and returns a formatted table.",CONVERSATIONAL_BI,analyst,text2sql,2026-07-01
Why did Conversational BI refuse my query?,"The Text-to-SQL agent refuses queries that write data, reference tables outside the whitelist, or would return more than 5000 rows. Restrict the query, add filters, or split the analysis into steps.",CONVERSATIONAL_BI,analyst,text2sql,2026-07-01
What is the DPDP Act?,"The Digital Personal Data Protection (DPDP) Act, 2023 governs how personal data of Indian citizens is processed. Axis Bank is a Significant Data Fiduciary and offers rights of access, correction, erasure and grievance redressal to customers.",LAW,compliance-officer,dpdp,2026-01-20
How do I raise a data breach report?,"Any suspected personal-data breach must be reported to the Data Protection Officer within 24 hours by raising a Priority-Zero incident on Unidesk. The DPO notifies the Data Protection Board within 72 hours for notifiable breaches.",LAW,compliance-officer,dpdp,2026-01-20
When must an STR be filed?,"A Suspicious Transaction Report must be filed with FIU-IND within 7 working days from the detection of the red flag. The FCC team owns the filing; the branch or ops team surfaces the red flag through the case management tool.",LAW,compliance-officer,aml,2026-01-20
What are the CAB blackout windows?,"No non-emergency production change is allowed during the last 5 business days of March (financial year end), the last 3 business days of September (half-year close), and RBI-mandated reporting windows.",CR,change-manager,change-management,2026-06-10
Where do I download the FATCA / CRS self-certification form?,"Go to Download > Statutory Forms > FATCA / CRS. The form code is FATCA-CRS-01 and the latest version is dated 2026-03.",DOWNLOAD,employee,forms,2026-03-01
Where do I find the corporate KYC form?,"Download > Customer Journey Forms > Corporate KYC. Form code KYC-CORP-01. Requires certified copy of incorporation, PAN, beneficial ownership declaration and board resolution.",DOWNLOAD,relationship-manager,forms,2026-05-05
How do I reset my Outlook / email password?,"Email uses the same Active Directory identity as the laptop. Use the self-service portal at https://reset.axisbank.internal after completing MFA. If Outlook shows old cached credentials, delete the profile under Control Panel > Mail > Show Profiles and add it back.",IT_HELPDESK,employee,identity,2026-08-01
Why does my VPN keep disconnecting?,"Common causes: wrong AnyConnect group selected, expired posture certificate, or corporate network throttling. Toggle Airplane mode for 10 seconds; if the loop continues, log a P2 SR under IT Helpdesk > Connectivity > VPN.",IT_HELPDESK,employee,vpn,2026-07-11
How is compensatory off applied?,"Employees working on declared holidays are eligible for a compensatory off within 45 days of the worked date. Comp off cannot be encashed and must be booked through the HR self-service portal.",HR,employee,leave-policy,2026-06-01
What is the salary reimbursement window?,"Reimbursement claims must be submitted within 30 calendar days of the expense date. Claims older than 30 days require reporting manager and HRBP approval; claims older than 60 days are auto-rejected.",HR,employee,reimbursement,2026-05-05
